ExterQual,BsmtQual,BsmtExposure,KitchenQual,GarageFinish,Neighborhood,HouseStyle,Foundation,GarageType,OverallQual,YearBuilt,MasVnrArea,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageArea,TotalSF,TotalBath,SalePrice
TA,Gd,No,Gd,RFn,Somerst,2Story,PConc,Attchd,7,2009,0.0,1852,7,1,644,2752,3.5,252678
TA,Gd,No,TA,Unf,CollgCr,1Story,PConc,Attchd,5,1995,0.0,990,5,0,576,1980,1.5,156000
TA,Gd,No,TA,Fin,CollgCr,2Story,CBlock,Attchd,6,1977,153.0,1392,6,0,299,2081,1.5,161750
TA,TA,No,Gd,Unf,NAmes,1Story,CBlock,Attchd,5,1957,64.0,1236,6,1,447,2306,1.5,134450
Gd,Gd,Mn,Gd,Unf,CollgCr,1Story,PConc,Attchd,7,2004,266.0,1436,8,0,484,2872,3.0,210000
TA,TA,No,TA,Unf,OldTown,2Story,CBlock,Detchd,4,1925,0.0,1328,8,0,210,2014,1.0,107000
Gd,TA,No,Gd,Unf,Crawfor,1.5Fin,CBlock,Attchd,7,1939,312.0,1954,8,2,431,2752,2.0,311500
Gd,Gd,Av,Gd,Fin,Blmngtn,1Story,PConc,Attchd,7,2005,16.0,1248,5,0,438,2496,2.0,167240
Gd,Gd,Mn,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,2006,0.0,1498,5,0,675,2996,2.0,204900
Gd,Gd,No,Gd,RFn,Gilbert,2Story,PConc,BuiltIn,6,2002,0.0,2267,8,1,390,3277,2.5,200000
TA,Gd,No,TA,RFn,NWAmes,2Story,CBlock,Attchd,6,1975,0.0,1552,6,1,434,2265,3.5,179900
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Detchd,4,1971,0.0,864,4,0,576,1728,1.0,97000
Ex,Ex,Gd,Ex,Fin,NridgHt,1Story,PConc,Attchd,10,2003,922.0,2392,8,1,968,4784,2.0,386250
TA,TA,No,TA,Unf,BrDale,2Story,CBlock,Detchd,5,1971,142.0,1302,6,0,280,1932,2.5,112000
Gd,Gd,No,Gd,RFn,NoRidge,2Story,PConc,Attchd,7,1995,290.0,2520,9,1,721,3723,2.5,290000
TA,TA,No,TA,Unf,BrDale,2Story,CBlock,Detchd,6,1970,127.0,987,5,0,280,1470,1.5,106000
TA,TA,No,TA,Unf,Sawyer,1Story,CBlock,Detchd,5,1967,0.0,912,5,1,336,1824,1.0,125000
Gd,Gd,Av,Gd,Fin,Blmngtn,1Story,PConc,Attchd,7,2005,16.0,1555,7,1,430,2928,2.0,192500
TA,TA,No,TA,RFn,NAmes,1Story,CBlock,Attchd,6,1959,220.0,1194,6,0,312,2388,2.0,148000
Gd,Gd,No,Ex,Fin,NoRidge,2Story,PConc,Attchd,8,1995,506.0,2794,9,1,810,4256,3.5,403000
TA,TA,No,TA,Unf,BrDale,2Story,CBlock,Attchd,6,1972,297.0,987,5,1,288,1470,1.5,94500
TA,TA,Av,TA,Unf,CollgCr,1Story,CBlock,Attchd,5,1976,0.0,894,5,0,308,1788,2.0,128200
Gd,Gd,No,Gd,Fin,Gilbert,2Story,PConc,BuiltIn,6,2002,0.0,1960,8,2,440,2820,3.5,216500
TA,TA,No,TA,Unf,BrDale,2Story,CBlock,Detchd,6,1971,604.0,987,5,0,264,1470,1.5,89500
Gd,Gd,Av,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,2004,98.0,1414,6,0,494,2828,2.0,185500
Gd,Gd,No,Gd,RFn,SawyerW,2Story,PConc,Attchd,7,1993,0.0,1744,7,0,457,2740,2.5,194500
Ex,Ex,No,Gd,Fin,NridgHt,1Story,PConc,Attchd,8,2007,254.0,1694,7,0,818,3388,2.0,318000
TA,TA,No,TA,Unf,Edwards,1.5Fin,CBlock,Detchd,6,1945,0.0,1487,7,1,220,2222,1.5,113000
Gd,Gd,Av,Gd,RFn,Somerst,1Story,PConc,Attchd,8,2008,36.0,1566,7,0,750,3132,3.0,262500
TA,TA,No,Gd,NoGar,OldTown,1Story,CBlock,NoGar,5,1945,0.0,866,4,0,0,1552,1.0,110500
TA,TA,No,TA,Unf,OldTown,1.5Fin,BrkTil,Attchd,5,1900,0.0,1440,6,0,352,1980,1.0,79000
TA,Gd,No,TA,RFn,SawyerW,2Story,CBlock,Attchd,6,1980,0.0,1217,6,1,288,1843,1.5,120000
Gd,Gd,No,Gd,RFn,SawyerW,2Story,PConc,Attchd,7,1994,0.0,2110,8,2,463,3058,3.5,205000
TA,Gd,Av,TA,Fin,NWAmes,1Story,CBlock,Attchd,7,1988,102.0,1872,6,1,604,3717,2.5,241500
TA,Fa,No,Fa,Unf,OldTown,2Story,Stone,Detchd,6,1910,0.0,1928,9,0,440,2948,2.0,137000
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Attchd,6,1954,0.0,1375,5,1,451,2742,1.0,140000
Gd,Gd,No,Gd,RFn,CollgCr,2Story,PConc,Attchd,7,2003,101.0,1668,8,0,500,2508,2.5,180000
Gd,Gd,Gd,Gd,Fin,ClearCr,1.5Fin,CBlock,Attchd,6,1958,472.0,2144,7,2,389,3588,2.5,277000
TA,TA,No,Fa,NoGar,BrkSide,1Story,CBlock,NoGar,3,1940,0.0,1306,6,0,0,2034,1.0,76500
Gd,Gd,Gd,Gd,Fin,Crawfor,1Story,PConc,Attchd,8,2006,481.0,1625,5,1,538,3198,3.5,235000
Gd,Gd,No,Gd,RFn,SawyerW,2Story,PConc,Attchd,6,2004,0.0,1640,6,0,520,2438,2.5,173000
TA,Gd,Gd,Gd,RFn,NAmes,SLvl,CBlock,Attchd,6,1964,108.0,1302,7,0,309,2604,2.5,158000
TA,TA,No,TA,RFn,NAmes,1Story,CBlock,Attchd,5,1957,0.0,1314,5,0,294,2628,2.0,145000
Gd,Gd,No,Gd,Fin,Gilbert,2Story,PConc,BuiltIn,7,1999,302.0,2291,8,1,429,3266,2.5,230000
Gd,Gd,No,Gd,RFn,Somerst,2Story,PConc,Attchd,6,2003,0.0,1728,7,0,673,2592,2.5,207500
Gd,Gd,No,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,2006,180.0,1604,8,1,660,3208,3.5,220000
Gd,Gd,No,Gd,RFn,CollgCr,2Story,PConc,Attchd,7,2001,172.0,1792,7,1,564,2755,2.5,231500
TA,NoBas,NoBas,TA,Unf,OldTown,1Story,PConc,Detchd,5,1956,0.0,882,4,0,308,882,1.0,97000
TA,TA,Gd,TA,Unf,NAmes,SLvl,CBlock,Attchd,6,1962,399.0,1382,6,1,884,2744,2.0,176000
Gd,Ex,No,Ex,Fin,CollgCr,2Story,PConc,BuiltIn,8,2007,270.0,2574,10,1,868,4056,2.5,276000
TA,Gd,Av,TA,Unf,Sawyer,SLvl,CBlock,Attchd,6,1977,46.0,1212,6,1,492,1718,2.0,151000
TA,TA,No,TA,Unf,OldTown,1.5Fin,BrkTil,Detchd,5,1929,0.0,1316,6,0,484,1852,2.0,130000
TA,Fa,No,TA,Unf,OldTown,1Story,BrkTil,Detchd,5,1925,0.0,764,4,0,504,1444,1.0,73000
TA,Gd,No,Gd,Fin,NWAmes,1Story,CBlock,Attchd,6,1981,210.0,1422,7,1,576,2844,2.0,175500
TA,Gd,Av,TA,Fin,Gilbert,2Story,PConc,Attchd,6,1997,0.0,1511,8,1,413,2313,3.5,185000
TA,TA,No,Gd,Unf,SWISU,2.5Fin,PConc,Detchd,5,1939,0.0,2192,8,1,240,2492,2.5,179500
TA,TA,No,TA,Fin,IDOTRR,1Story,CBlock,Detchd,5,1940,0.0,778,4,1,924,1518,1.0,120500
TA,TA,No,TA,RFn,Edwards,1Story,CBlock,Attchd,6,1976,174.0,1113,6,1,504,2256,2.5,148000
Gd,Gd,Mn,Gd,RFn,Somerst,2Story,PConc,Attchd,8,2006,0.0,1939,8,1,1053,3034,2.5,266000
TA,Gd,Gd,TA,Unf,ClearCr,1Story,CBlock,Attchd,7,1954,0.0,1363,5,2,439,2748,2.0,241500
Gd,Gd,No,Gd,Fin,NoRidge,2Story,PConc,Attchd,8,1999,348.0,2270,9,1,671,3422,2.5,290000
TA,TA,No,TA,RFn,NAmes,1Story,CBlock,Attchd,6,1958,183.0,1632,6,1,338,2872,3.0,139000
TA,TA,Gd,TA,Unf,Mitchel,1Story,CBlock,Attchd,5,1982,0.0,816,5,0,264,1632,1.0,124500
Gd,TA,No,Ex,Unf,BrkSide,1.5Fin,BrkTil,Detchd,7,1925,0.0,1548,5,0,672,2500,2.5,205000
Gd,Ex,No,Gd,Fin,Mitchel,1Story,PConc,Attchd,7,2003,0.0,1560,7,0,573,3120,2.0,201000
TA,TA,No,TA,Unf,Gilbert,1Story,CBlock,Detchd,4,1951,0.0,864,4,0,400,1728,1.0,141000
Ex,Ex,Gd,Ex,Fin,NridgHt,1Story,PConc,Attchd,9,2006,315.0,2121,8,1,732,4242,2.5,415298
TA,Gd,No,TA,Fin,ClearCr,2Story,CBlock,Attchd,7,1977,299.0,2022,8,1,505,3182,2.5,192000
Gd,Gd,Av,Gd,Fin,SawyerW,2Story,CBlock,Attchd,7,1989,340.0,1982,7,1,575,2789,2.5,228500
Gd,Gd,No,Gd,Fin,Somerst,1Story,PConc,Attchd,6,2006,68.0,1262,5,0,572,2524,2.0,185000
Gd,Gd,No,Gd,RFn,NridgHt,1Story,PConc,Attchd,7,2007,166.0,1314,6,1,626,2628,3.0,207500
Gd,Gd,No,Gd,Fin,Somerst,1Story,PConc,Attchd,8,2008,72.0,1468,6,1,898,2936,2.0,244600
Gd,Gd,No,Gd,RFn,SawyerW,1Story,PConc,Attchd,6,1992,0.0,1575,5,0,529,3150,3.0,179200
Gd,Gd,No,Gd,RFn,Somerst,2Story,PConc,Detchd,7,2006,0.0,1250,5,0,528,1875,2.5,164700
TA,TA,No,Gd,RFn,NAmes,1.5Fin,CBlock,Attchd,6,1962,0.0,1734,7,1,440,2646,1.5,159000
TA,TA,No,TA,NoGar,NAmes,1Story,CBlock,NoGar,4,1971,0.0,858,5,0,0,1716,1.0,88000
TA,TA,No,TA,Unf,Sawyer,1Story,CBlock,Detchd,5,1967,31.0,900,5,0,280,1782,1.0,122000
TA,TA,No,TA,Unf,BrkSide,2Story,BrkTil,Detchd,6,1915,0.0,1396,7,0,384,2094,1.0,153575
Gd,Gd,Av,Gd,RFn,CollgCr,2Story,PConc,Attchd,8,2006,0.0,1919,8,1,685,2998,2.5,233230
TA,TA,No,Fa,NoGar,SWISU,2Story,PConc,NoGar,5,1912,0.0,1716,9,0,0,2496,3.0,135900
TA,TA,No,TA,Unf,Edwards,1.5Fin,CBlock,Attchd,5,1949,0.0,1716,8,1,281,2484,1.5,131000
TA,TA,No,Gd,Fin,NWAmes,2Story,CBlock,Attchd,7,1977,34.0,2263,9,1,539,3058,3.5,235000
TA,TA,No,TA,Fin,NAmes,1Story,CBlock,Attchd,6,1953,238.0,1644,7,2,418,3060,2.0,167000
TA,TA,Av,TA,Unf,Mitchel,SLvl,CBlock,Detchd,6,1984,0.0,1003,6,0,588,2006,2.0,142500
TA,TA,No,TA,Unf,IDOTRR,1.5Fin,CBlock,Attchd,5,1950,0.0,1558,6,0,282,2468,1.5,152000
Gd,Gd,No,Gd,RFn,Somerst,2Story,PConc,Detchd,7,1997,1600.0,1950,7,1,576,2925,2.5,239000
Gd,TA,No,TA,Unf,NWAmes,2Story,CBlock,Attchd,6,1968,365.0,1743,7,1,539,2445,2.5,175000
TA,TA,No,Gd,Unf,Crawfor,1Story,CBlock,Attchd,6,1950,0.0,1152,6,1,300,2244,1.5,158500
TA,TA,Mn,TA,Unf,Crawfor,1Story,CBlock,Attchd,5,1953,56.0,1336,5,2,375,2501,2.0,157000
Gd,Gd,No,Gd,Fin,CollgCr,2Story,PConc,BuiltIn,8,1998,0.0,2452,9,1,683,3480,2.5,267000
Gd,Gd,No,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,2001,150.0,1541,6,1,843,3082,2.0,205000
TA,TA,No,TA,Unf,CollgCr,1Story,PConc,Attchd,5,1972,0.0,894,5,0,552,1788,2.0,149900
TA,TA,No,Gd,Unf,OldTown,2.5Fin,BrkTil,Attchd,7,1880,0.0,3493,10,1,870,4963,3.0,295000
Gd,Gd,No,Gd,Fin,CollgCr,1Story,PConc,Attchd,8,2004,246.0,2000,8,0,888,4000,3.0,305900
Gd,Gd,No,Gd,RFn,SawyerW,2Story,CBlock,Attchd,7,1990,246.0,2243,8,1,746,2943,3.5,225000
TA,TA,No,Fa,NoGar,IDOTRR,1.5Fin,CBlock,NoGar,6,1920,0.0,1406,6,0,0,1725,1.0,89500
TA,TA,No,TA,Unf,Edwards,1Story,CBlock,Detchd,4,1940,0.0,861,4,0,539,1722,1.0,82500
Gd,Ex,Gd,Ex,Fin,NridgHt,1Story,PConc,Attchd,9,2003,0.0,1944,8,3,708,3840,3.0,360000
TA,Gd,No,Gd,Fin,Gilbert,2Story,PConc,Attchd,6,1993,112.0,1501,6,1,420,2198,2.5,165600
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Detchd,6,1948,0.0,972,5,1,240,1944,2.0,132000
TA,Gd,Mn,TA,Unf,OldTown,1.5Fin,CBlock,Detchd,5,1939,0.0,1118,5,1,410,1911,2.0,119900
TA,Gd,Gd,TA,RFn,Timber,1Story,CBlock,Attchd,7,1965,0.0,2036,8,2,513,4172,4.0,375000
TA,TA,No,Ex,Unf,OldTown,2Story,BrkTil,Detchd,7,1925,0.0,1641,6,1,546,2369,2.0,178000
Gd,Gd,No,Gd,Fin,Gilbert,2Story,PConc,Attchd,7,2004,0.0,1432,6,1,432,2148,3.5,188500
Gd,Gd,No,Ex,RFn,NWAmes,2Story,CBlock,Attchd,7,1980,278.0,2353,10,1,484,3198,3.5,260000
Gd,Gd,Av,Gd,RFn,Somerst,2Story,PConc,Attchd,8,2006,0.0,1959,8,1,1025,3047,2.5,270000
Gd,Gd,Gd,Gd,RFn,NoRidge,2Story,PConc,Attchd,7,1993,256.0,2646,9,1,656,3993,3.5,260000
TA,Gd,Av,TA,Unf,NWAmes,SLvl,CBlock,Attchd,7,1980,225.0,1472,6,2,588,2844,3.0,187500
TA,Ex,Av,Gd,RFn,NridgHt,2Story,PConc,Attchd,9,2006,370.0,2596,9,0,840,3845,3.5,342643
Gd,Ex,Av,Gd,Fin,NridgHt,2Story,PConc,BuiltIn,8,2004,388.0,2468,10,1,872,3604,3.5,354000
Gd,TA,Gd,Gd,Fin,SawyerW,2Story,CBlock,Attchd,7,1986,172.0,2730,8,1,576,4232,3.5,301000
TA,TA,No,TA,Unf,OldTown,1Story,CBlock,Attchd,3,1955,0.0,1163,6,0,220,2325,2.0,126175
Gd,Gd,No,Gd,Fin,NAmes,SLvl,CBlock,BuiltIn,7,1967,300.0,2978,11,1,564,3688,2.5,242000
TA,TA,Av,TA,Unf,IDOTRR,1.5Unf,CBlock,Detchd,5,1941,0.0,803,5,0,360,1523,1.0,87000
Gd,Gd,Gd,Gd,Fin,Veenker,1Story,PConc,Attchd,8,1993,0.0,1719,6,2,473,3438,3.5,324000
TA,TA,No,TA,RFn,NAmes,1Story,CBlock,Attchd,6,1960,175.0,1383,7,0,292,2766,1.5,145250
TA,TA,No,Gd,Unf,BrkSide,2.5Unf,BrkTil,Detchd,6,1916,0.0,2134,10,0,441,2978,2.0,214500
TA,TA,Mn,TA,Unf,IDOTRR,2Story,PConc,Detchd,5,1920,0.0,1192,6,0,189,1788,1.0,78000
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Detchd,5,1964,84.0,1728,10,0,352,3456,2.5,119000
TA,TA,No,TA,RFn,NAmes,1Story,CBlock,Attchd,5,1958,0.0,1056,6,0,308,2112,2.0,139000
Gd,Gd,No,Gd,RFn,NridgHt,1Story,PConc,Attchd,8,2003,296.0,1629,7,1,880,4835,3.0,284000
Gd,Gd,Av,Gd,RFn,NridgHt,1Story,PConc,Attchd,7,2004,146.0,1358,6,1,484,2716,3.0,207000
TA,Gd,Gd,TA,Fin,Gilbert,2Story,PConc,Attchd,6,1998,0.0,1638,7,2,472,2581,3.5,192000
TA,TA,Gd,TA,Fin,Timber,1.5Fin,CBlock,Attchd,5,1965,0.0,1786,7,2,529,3285,4.0,228950
Gd,Ex,Gd,Gd,Fin,StoneBr,1Story,PConc,Attchd,9,2005,200.0,1922,8,1,676,3844,3.0,377426
Gd,Gd,Av,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,2002,113.0,1536,7,0,532,3072,3.0,214000
Gd,Gd,Mn,Gd,RFn,NWAmes,1Story,CBlock,Attchd,7,1984,0.0,1621,8,0,440,2829,3.0,202500
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Attchd,6,1958,176.0,1215,6,0,297,2430,1.0,155000
Gd,Gd,No,Gd,Fin,Timber,2Story,PConc,Attchd,8,2002,0.0,1908,9,0,431,2875,2.5,202900
Fa,TA,No,TA,Unf,SawyerW,1Story,CBlock,CarPort,4,1950,0.0,841,4,0,294,1562,1.0,82000
TA,NoBas,NoBas,TA,Unf,NAmes,1Story,Slab,Detchd,3,1949,340.0,1040,6,0,400,1040,2.0,87500
Ex,Ex,No,Ex,RFn,NridgHt,1Story,PConc,Attchd,9,2005,616.0,1684,6,1,564,3368,2.0,266000
TA,Gd,No,TA,Unf,MeadowV,2Story,CBlock,Attchd,5,1976,0.0,1112,4,0,336,1648,1.5,85000
TA,TA,No,Fa,Unf,BrkSide,1.5Fin,BrkTil,Detchd,6,1939,0.0,1577,6,1,312,2549,1.0,140200
TA,TA,Mn,TA,RFn,NAmes,1Story,CBlock,Attchd,6,1960,0.0,958,5,0,301,1916,1.0,151500
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Attchd,6,1960,30.0,1478,6,2,498,2956,3.0,157500
Gd,Gd,No,Gd,RFn,NridgHt,2Story,PConc,BuiltIn,7,2003,106.0,1626,6,0,474,2390,3.5,154000
Ex,Ex,No,Ex,Fin,NridgHt,2Story,PConc,Attchd,9,2005,870.0,2728,10,2,706,4576,3.5,437154
Ex,Ex,No,Ex,RFn,NridgHt,1Story,PConc,Attchd,9,2007,362.0,1869,6,1,617,3738,2.0,318061
TA,Gd,Gd,Gd,RFn,ClearCr,1Story,PConc,Attchd,7,1986,0.0,1453,6,1,445,2906,2.5,190000
TA,TA,Mn,TA,Unf,Edwards,1.5Fin,CBlock,Detchd,5,1941,0.0,1111,5,0,200,1727,1.5,95000
TA,TA,No,TA,Unf,OldTown,1Story,BrkTil,Detchd,6,1928,0.0,720,5,0,484,1344,1.0,105900
TA,TA,No,TA,Unf,SWISU,1.5Fin,CBlock,Attchd,6,1940,0.0,1595,6,2,240,2535,1.0,140000
Gd,Gd,No,Gd,RFn,CollgCr,1Story,PConc,Attchd,6,1995,0.0,1200,6,0,521,2400,3.0,177500
TA,Gd,No,Gd,RFn,Gilbert,1Story,PConc,Attchd,6,1992,106.0,1167,6,0,400,2325,3.0,173000
TA,Gd,No,TA,Fin,MeadowV,1Story,PConc,Attchd,5,1976,0.0,1142,6,1,528,2284,2.5,134000
TA,TA,Av,Gd,Unf,ClearCr,SLvl,CBlock,BuiltIn,5,1958,120.0,1352,6,0,288,2414,1.5,130000
Gd,Gd,Av,Gd,RFn,NoRidge,2Story,PConc,Attchd,8,1998,530.0,1924,7,1,592,3010,3.5,280000
TA,Gd,Av,TA,RFn,Mitchel,SFoyer,CBlock,Attchd,6,1978,0.0,912,5,1,470,1800,2.0,156000
TA,TA,No,TA,Unf,BrkSide,1.5Fin,CBlock,Detchd,5,1940,0.0,1505,8,0,240,2388,2.0,145000
Gd,NoBas,NoBas,Gd,RFn,Edwards,SFoyer,Slab,BuiltIn,7,2003,500.0,1922,7,1,672,1922,3.0,198500
TA,TA,No,Gd,Unf,BrDale,2Story,CBlock,Detchd,6,1972,510.0,987,5,0,264,1470,1.5,118000
TA,Gd,Mn,TA,Fin,NWAmes,2Story,PConc,Attchd,6,1976,120.0,1574,6,1,566,2370,3.5,190000
TA,TA,No,TA,Unf,IDOTRR,2Story,CBlock,Detchd,5,1920,0.0,1344,6,0,468,2016,1.0,147000
TA,Gd,No,TA,RFn,NAmes,1Story,CBlock,Attchd,6,1963,247.0,1394,6,2,514,2788,2.5,159000
TA,Gd,Gd,TA,RFn,NAmes,SLvl,CBlock,Basment,6,1962,305.0,1431,6,1,296,2530,1.5,165000
TA,TA,No,TA,Fin,NAmes,1Story,PConc,Attchd,5,1954,200.0,1268,7,1,244,2536,1.0,132000
TA,TA,No,Gd,Fin,NAmes,1Story,CBlock,Detchd,5,1959,0.0,1287,7,1,576,2350,2.0,162000
TA,Gd,No,TA,RFn,Gilbert,2Story,PConc,Attchd,6,2000,0.0,1664,7,1,460,2617,2.5,172400
TA,NoBas,NoBas,TA,Fin,ClearCr,1.5Fin,CBlock,Detchd,4,1959,0.0,1588,7,1,680,1588,2.0,134432
TA,Gd,No,TA,Unf,SawyerW,1Story,CBlock,Attchd,6,1984,0.0,752,4,0,264,1496,2.0,125000
TA,TA,No,TA,Unf,NAmes,1Story,PConc,Attchd,5,1953,0.0,1319,5,0,270,1927,2.0,123000
Gd,Gd,No,Gd,Fin,CollgCr,2Story,PConc,BuiltIn,7,2003,0.0,1928,8,1,434,2775,2.5,219500
Fa,Fa,Gd,Fa,NoGar,Edwards,1Story,BrkTil,NoGar,1,1922,0.0,904,4,0,0,1587,1.5,61000
Gd,Gd,Av,TA,Unf,CollgCr,SFoyer,PConc,Detchd,5,1996,0.0,914,5,0,576,1784,1.0,148000
Gd,Gd,No,Gd,RFn,Somerst,2Story,PConc,Attchd,8,2004,0.0,2466,8,1,610,4046,3.0,340000
Gd,Ex,Av,Ex,Fin,StoneBr,1Story,PConc,Attchd,9,2010,350.0,1856,8,1,834,3712,2.5,394432
TA,Gd,No,TA,Fin,Gilbert,2Story,PConc,Attchd,6,2000,16.0,1800,7,1,463,2782,2.5,179000
TA,TA,No,Gd,Unf,SWISU,1.5Fin,BrkTil,Detchd,5,1924,0.0,1691,6,1,308,2717,2.0,127000
Gd,Gd,No,Gd,RFn,Somerst,1Story,PConc,Attchd,7,2006,0.0,1301,5,1,572,2594,3.0,187750
Gd,Gd,Av,Gd,RFn,CollgCr,2Story,PConc,Attchd,7,2006,0.0,1797,8,0,639,2736,2.5,213500
TA,Fa,No,TA,Unf,SawyerW,1.5Unf,BrkTil,Detchd,6,1928,0.0,784,5,0,360,1568,1.0,76000
Gd,Gd,Av,Gd,Fin,ClearCr,2Story,PConc,Attchd,6,1992,0.0,1953,9,2,501,3533,3.5,240000
Gd,Gd,No,Gd,Fin,Blmngtn,1Story,PConc,Attchd,8,2004,16.0,1269,6,1,430,2525,2.0,192000
TA,TA,No,TA,NoGar,Edwards,1.5Fin,PConc,NoGar,5,1910,0.0,1184,8,0,0,1842,1.0,81000
TA,TA,Av,TA,Unf,Edwards,SLvl,CBlock,Detchd,6,1976,255.0,1125,6,1,352,2166,2.0,125000
Gd,Gd,No,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,1999,125.0,1479,6,0,577,2947,2.0,191000
Ex,Ex,Av,Ex,Fin,NridgHt,2Story,PConc,BuiltIn,10,2007,272.0,2332,9,1,846,4014,3.5,426000
TA,TA,No,TA,Unf,Edwards,1.5Fin,BrkTil,Detchd,5,1900,0.0,1367,7,0,384,2228,2.0,119000
TA,Ex,No,Gd,Fin,Mitchel,2Story,PConc,BuiltIn,6,2001,0.0,1961,7,1,560,2765,3.5,215000
TA,NoBas,NoBas,TA,RFn,NAmes,1Story,Slab,Attchd,5,1959,0.0,882,5,0,294,882,1.0,106500
TA,TA,No,TA,NoGar,BrkSide,1Story,CBlock,NoGar,4,1941,0.0,788,4,2,0,1576,1.0,100000
TA,TA,No,TA,Unf,OldTown,1.5Fin,CBlock,Detchd,5,1940,0.0,1034,5,0,240,1769,1.0,109000
TA,TA,Av,TA,Unf,Edwards,1Story,CBlock,Attchd,5,1956,0.0,1144,6,0,596,2288,2.0,129000
TA,TA,Av,TA,RFn,CollgCr,1Story,CBlock,Detchd,5,1972,0.0,894,6,0,600,1788,1.0,123000
TA,TA,No,TA,RFn,NAmes,2Story,CBlock,Attchd,5,1962,288.0,1812,8,1,264,2676,2.0,169500
TA,Fa,No,TA,Unf,IDOTRR,1Story,BrkTil,Detchd,5,1920,0.0,1077,6,0,338,2038,1.0,67000
Gd,Gd,No,Gd,Fin,Somerst,2Story,PConc,Attchd,7,2006,100.0,1550,7,0,438,2642,3.0,241000
Gd,Gd,No,Ex,Fin,Veenker,1Story,PConc,Attchd,8,1996,0.0,1288,4,2,500,2548,2.5,245500
Gd,Gd,Av,Gd,Fin,CollgCr,1Story,PConc,Attchd,7,2005,0.0,1310,6,1,400,2620,2.0,164990
TA,TA,No,TA,Unf,Sawyer,1Story,PConc,Detchd,5,1940,0.0,672,4,0,240,1344,1.0,108000
Gd,Gd,No,Gd,Fin,NoRidge,2Story,PConc,BuiltIn,8,1998,650.0,2263,10,1,420,3404,2.5,258000
TA,Gd,No,TA,Fin,Gilbert,2Story,PConc,BuiltIn,6,1995,0.0,1572,7,1,373,2378,2.5,168000
TA,TA,No,TA,Unf,Sawyer,1Story,CBlock,Attchd,4,1976,0.0,1620,8,1,490,2901,3.0,150000
TA,TA,No,TA,Unf,SWISU,1.5Fin,BrkTil,Detchd,6,1936,0.0,1639,6,0,240,2230,1.0,115000
TA,Gd,No,TA,Unf,Crawfor,2Story,BrkTil,Attchd,6,1915,0.0,1680,8,0,308,2520,2.0,177000
Gd,Ex,No,Gd,RFn,NridgHt,2Story,PConc,Attchd,7,2006,350.0,2172,9,1,947,3235,2.5,280000
Gd,Ex,No,Ex,Fin,Somerst,2Story,PConc,Attchd,8,2007,100.0,2078,8,1,836,3112,3.5,339750
TA,TA,No,TA,Unf,Edwards,1Story,CBlock,Attchd,5,1958,0.0,1276,5,0,350,2552,1.0,60000
TA,TA,Mn,TA,Fin,Gilbert,1Story,CBlock,Attchd,5,1955,0.0,1056,5,0,572,2112,2.0,145000
Ex,Ex,Av,Gd,Fin,Somerst,1Story,PConc,Attchd,7,2009,432.0,1478,7,1,484,2948,3.5,222000
TA,TA,No,TA,Unf,OldTown,1Story,CBlock,Detchd,5,1927,0.0,1028,5,1,360,2036,1.0,115000
Gd,Gd,No,Gd,Unf,SawyerW,2Story,PConc,Attchd,7,1993,0.0,2097,9,1,678,3177,3.0,228000
Gd,Gd,Av,Gd,Fin,Gilbert,1Story,PConc,Attchd,7,2007,0.0,1340,6,0,396,2680,2.0,181134
TA,TA,No,TA,Fin,Sawyer,2Story,CBlock,Attchd,6,1978,203.0,1400,6,1,440,2072,1.5,149500
TA,Gd,No,TA,Unf,Crawfor,2Story,BrkTil,Detchd,6,1918,0.0,2624,10,1,864,3994,3.5,239000
TA,TA,No,TA,Unf,Edwards,1.5Fin,BrkTil,Detchd,5,1940,0.0,1134,7,0,240,1890,2.5,126000
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Attchd,5,1968,0.0,1056,6,1,304,2112,2.0,142000
TA,Gd,Gd,TA,Fin,Mitchel,SFoyer,PConc,Attchd,7,1997,200.0,1344,8,0,784,2688,4.0,206300
Gd,Gd,No,Gd,Fin,NWAmes,1Story,CBlock,Attchd,6,1977,126.0,1602,8,1,529,3204,2.5,215000
TA,TA,No,TA,RFn,Mitchel,1Story,CBlock,Attchd,5,1954,0.0,988,4,0,520,1976,1.0,113000
Gd,Gd,No,Gd,Fin,NoRidge,2Story,PConc,Attchd,8,1998,473.0,2630,8,1,696,4100,3.5,315000
TA,Gd,No,TA,RFn,NAmes,1Story,CBlock,Attchd,6,1956,74.0,1196,6,1,297,2392,2.0,139000
TA,TA,No,TA,Unf,OldTown,2Story,CBlock,Detchd,7,1946,0.0,1389,6,2,240,2040,1.5,135000
